title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
The Progenitors of Type Ia Supernovae,['M. Livio'],1999-03-17,arXiv:9903264v1,dyn_4423c73099,paper_metadata,arxiv_9903264v1_the_progenitors_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9903264v1,0.5,evidence text not found on recorded PDF page,
The Rising Light Curves of Type Ia Supernovae,"['R. E. Firth', 'M. Sullivan', 'A. Gal-Yam', 'D. A. Howell', 'K. Maguire', 'P. Nugent', 'A. L. Piro', 'C. Baltay', 'U. Feindt', 'E. Hadjiyksta', 'R. McKinnon', 'E. Ofek', 'D. Rabinowitz', 'E. S. Walker']",2014-11-04,arXiv:1411.1064v1,dyn_61acd490dc,paper_metadata,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1411.1064v1,0.5,evidence text not found on recorded PDF page,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"['Chang Bi', 'Tyrone E. Woods', 'Sébastien Fabbro']",2024-01-11,arXiv:2401.06087v1,dyn_2582d223e0,paper_metadata,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2401.06087v1,0.5,evidence text not found on recorded PDF page,
Type Ia Supernova Light Curve Inference: Hierarchical Bayesian Analysis in the Near Infrared,"['Kaisey S. Mandel', 'W. Michael Wood-Vasey', 'Andrew S. Friedman', 'Robert P. Kirshner']",2009-08-04,arXiv:0908.0536v3,dyn_65404deb72,paper_metadata,arxiv_0908_0536v3_type_ia_supernova_light_curve_inference_hierarchical_bayesian_analysis_in_the_ne.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0908.0536v3,0.5,evidence text not found on recorded PDF page,
Two classes of fast-declining type Ia supernovae,"['S. Dhawan', 'B. Leibundgut', 'J. Spyromilio', 'S. Blondin']",2017-02-20,arXiv:1702.06585v1,dyn_5760eecbc8,paper_metadata,arxiv_1702_06585v1_two_classes_of_fast_declining_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1702.06585v1,0.5,evidence text not found on recorded PDF page,
The late-time light curve of the Type Ia supernova 2000cx,"['Jesper Sollerman', 'Jan Lindahl', 'Cecilia Kozma', 'Peter Challis', 'Alexei V. Filippenko', 'Claes Fransson', 'Peter M. Garnavich', 'Bruno Leibundgut', 'Weidong Li', 'Peter Lundqvist', 'Peter Milne', 'Jason Spyromilio', 'Robert P. Kirshner']",2004-09-14,arXiv:0409338v1,dyn_efcfeaf97e,paper_metadata,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0409338v1,0.5,evidence text not found on recorded PDF page,
Maximum Brightness and Post-Maximum Decline of Light Curves of SN~Ia: A Comparison of Theory and Observations,"['P. Höflich', 'A. Khokhlov', 'J. C. Wheeler', 'M. Hamuy', 'M. M. Phillips', 'N. B. Suntzeff']",1996-09-09,arXiv:9609070v1,dyn_43705d6df6,paper_metadata,arxiv_9609070v1_maximum_brightness_and_post_maximum_decline_of_light_curves_of_sn_ia_a_compariso.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9609070v1,0.5,evidence text not found on recorded PDF page,
Near-infrared light curves of Type Ia supernovae: Studying the properties of the second maximum,"['S. Dhawan', 'B. Leibundgut', 'J. Spyromilio', 'K. Maguire']",2015-02-02,arXiv:1502.00568v1,dyn_faf7933545,paper_metadata,arxiv_1502_00568v1_near_infrared_light_curves_of_type_ia_supernovae_studying_the_properties_of_the_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1502.00568v1,0.5,evidence text not found on recorded PDF page,
Properties of Type-Ia Supernova Light Curves,['Tuguldur Sukhbold'],2018-05-09,arXiv:1805.03712v2,dyn_a1d9a46be8,paper_metadata,arxiv_1805_03712v2_properties_of_type_ia_supernova_light_curves.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1805.03712v2,0.5,evidence text not found on recorded PDF page,
The Most Slowly Declining Type Ia Supernova 2001ay,"['Kevin Krisciunas', 'Weidong Li', 'Thomas Matheson', 'D. Andrew Howell', 'Maximilian Stritzinger', 'Greg Aldering', 'Perry L. Berlind', 'M. Calkins', 'Peter Challis', 'Ryan Chornock', 'Alexander Conley', 'Alexei V. Filippenko', 'Mohan Ganeshalingam', 'Lisa Germany', 'Sergio Gonzalez', 'Samuel D. Gooding', 'Eric Hsiao', 'Daniel Kasen', 'Robert P. Kirshner', 'G. H. ""Howie"" Marion', 'Cesar Muena', 'Peter E. Nugent', 'M. Phelps', 'Mark M. Phillips', 'Yulei Qiu', 'Robert Quimby', 'K. Rines', 'Jeffrey M. Silverman', 'Nicholas B. Suntzeff', 'Rollin C. Thomas', 'Lifan Wang']",2011-06-20,arXiv:1106.3968v2,dyn_06f28bda32,paper_metadata,arxiv_1106_3968v2_the_most_slowly_declining_type_ia_supernova_2001ay.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1106.3968v2,0.5,evidence text not found on recorded PDF page,
